"Story","Title","Result","Date","Stability","Duration (s)"
"Convertirse en conductor","Convertirse en conductor","SUCCESS","2023-04-27T22:02:23.109-05:00[America/Bogota]","0.0","27.83"
"Convertirse en conductor","Convertirse en conductor erróneo","SUCCESS","2023-04-27T22:02:51.91-05:00[America/Bogota]","0.0","118.93"
"Convertirse en conductor","Convertirse en conductor erróneo","SUCCESS","2023-04-27T22:02:51.91-05:00[America/Bogota]","0.0","118.93"
"Convertirse en conductor","Convertirse en conductor erróneo","SUCCESS","2023-04-27T22:02:51.91-05:00[America/Bogota]","0.0","118.93"
"Convertirse en conductor","Convertirse en conductor erróneo","SUCCESS","2023-04-27T22:02:51.91-05:00[America/Bogota]","0.0","118.93"
"Convertirse en conductor","Convertirse en conductor erróneo","SUCCESS","2023-04-27T22:02:51.91-05:00[America/Bogota]","0.0","118.93"
"Inicio de sesión","Inicio de sesión válido","SUCCESS","2023-04-27T21:56:27.463-05:00[America/Bogota]","0.0","25.67"
"Inicio de sesión","Inicio de sesión inválido","SUCCESS","2023-04-27T21:56:53.416-05:00[America/Bogota]","0.0","89.41"
"Inicio de sesión","Inicio de sesión inválido","SUCCESS","2023-04-27T21:56:53.416-05:00[America/Bogota]","0.0","89.41"
"Inicio de sesión","Inicio de sesión inválido","SUCCESS","2023-04-27T21:56:53.416-05:00[America/Bogota]","0.0","89.41"
"Inicio de sesión","Inicio de sesión inválido","SUCCESS","2023-04-27T21:56:53.416-05:00[America/Bogota]","0.0","89.41"
"Inicio de sesión","Inicio de sesión inválido","SUCCESS","2023-04-27T21:56:53.416-05:00[America/Bogota]","0.0","89.41"
"Registrar usuario","Registro de usuario inválido","SUCCESS","2023-04-27T21:35:37.497-05:00[America/Bogota]","0.0","92.79"
"Registrar usuario","Registro de usuario inválido","SUCCESS","2023-04-27T21:35:37.497-05:00[America/Bogota]","0.0","92.79"
"Registrar usuario","Registro de usuario inválido","SUCCESS","2023-04-27T21:35:37.497-05:00[America/Bogota]","0.0","92.79"
"Registrar usuario","Registro de usuario inválido","SUCCESS","2023-04-27T21:35:37.497-05:00[America/Bogota]","0.0","92.79"
